Aeroporto,Anno,Periodo,Zona,Pass_Arrivo,Pass_Partenza
Olbia,2019,S2,03,22689,19298
Olbia,2019,S2,02,67152,56900
Olbia,2019,S2,04,6611,5835
Olbia,2019,S2,12,21688,19199
Alghero,2019,S3,03 + 04,28948,27810
Alghero,2019,S3,02,35200,31716
Alghero,2019,S3,13 + 14,21098,19110
Alghero,2019,S3,11,5698,5109
Alghero,2019,S3,12,11966,11605
Olbia,2019,S3,11,46255,40946
Olbia,2019,S3,04,13583,12753
Olbia,2019,S3,13,30355,28695
Olbia,2019,S3,02,97849,91428
Olbia,2019,S3,12,30976,29796
Olbia,2019,S3,14,53232,49326
Olbia,2019,S3,03,26652,25881
Alghero,2019,S4,02,35024,37646
Alghero,2019,S4,12,9095,9813
Alghero,2019,S4,03 + 04,29480,30512
Alghero,2019,S4,11,5965,5904
Alghero,2019,S4,13 + 14,20304,21016
Olbia,2019,S4,12,23297,26214
Olbia,2019,S4,13,29409,30497
Olbia,2019,S4,14,49041,54199
Olbia,2019,S4,03,26593,28141
Olbia,2019,S4,04,14753,15473
Olbia,2019,S4,02,95046,100345
Olbia,2019,S4,11,50651,57881
Alghero,2019,S5,03 + 04,44399,50224
Alghero,2019,S5,13 + 14,20407,21864
Alghero,2019,S5,02,35209,42579
Alghero,2019,S5,12,11020,13113
Alghero,2019,S5,11,3910,4495
Olbia,2019,S5,03,23872,30037
Olbia,2019,S5,02,72767,90707
Olbia,2019,S5,12,24565,28073
Olbia,2019,S5,04,6955,7678
Olbia,2019,S5,13,35272,42225
Olbia,2019,S5,14,74377,86961
Olbia,2019,S5,11,23853,28363
Alghero,2019,W1,03 + 04,40894,42638
Alghero,2019,W1,02,33562,35651
Olbia,2019,W1,11 + 12,5443,6146
Olbia,2019,W1,03 + 04,30913,29795
Olbia,2019,W1,13 + 14,5212,5194
Olbia,2019,W1,02,39958,41938
Alghero,2019,W2,02,28972,28315
Alghero,2019,W2,03 + 04,38465,39088
Alghero,2019,W2,13 + 14,2802,3502
Olbia,2019,W2,13 + 14,2049,3426
Olbia,2019,W2,11 + 12,4613,6165
Olbia,2019,W2,03 + 04,21457,21904
Olbia,2019,W2,02,34880,33219
Alghero,2018,S1,13 + 14,22883,19443
Alghero,2018,S1,03 + 04,46141,45482
Alghero,2018,S1,02,41889,40935
Alghero,2018,S1,12,13617,11053
Alghero,2018,S1,11,2346,2543
Olbia,2018,S1,12,19653,15343
Olbia,2018,S1,11,25671,22116
Olbia,2018,S1,02,68836,63124
Olbia,2018,S1,04,6512,6233
Olbia,2018,S1,13,29003,23179
Olbia,2018,S1,14,54063,44751
Olbia,2018,S1,03,32743,30484
Alghero,2018,S2,13 + 14,16946,13952
Alghero,2018,S2,03 + 04,25907,24969
Alghero,2018,S2,02,28268,25044
Alghero,2018,S2,12,12413,11587
Alghero,2018,S2,11,1712,1484
Olbia,2018,S2,02,72494,60061
Olbia,2018,S2,13,28886,24412
Olbia,2018,S2,11,25486,22640
Olbia,2018,S2,04,8586,7145
Olbia,2018,S2,03,24811,21983
Olbia,2018,S2,12,25584,23134
Olbia,2018,S2,14,41807,41004
Alghero,2018,S3,03 + 04,26337,26238
Alghero,2018,S3,13 + 14,20131,17773
Alghero,2018,S3,02,33985,30717
Alghero,2018,S3,12,11850,11511
Alghero,2018,S3,11,3138,3130
Olbia,2018,S3,14,46007,42728
Olbia,2018,S3,04,12689,11599
Olbia,2018,S3,12,32905,31138
Olbia,2018,S3,13,35304,33113
Olbia,2018,S3,11,44464,39400
Olbia,2018,S3,03,28523,28052
Olbia,2018,S3,02,98201,91539
Alghero,2018,S4,12,11339,11803
Alghero,2018,S4,02,33168,35408
Alghero,2018,S4,03 + 04,27498,29560
Alghero,2018,S4,13 + 14,18727,18709
Alghero,2018,S4,11,3230,3209
Olbia,2018,S4,14,43369,47801
Olbia,2018,S4,12,25202,27904
Olbia,2018,S4,04,13876,14280
Olbia,2018,S4,13,32789,33903
Olbia,2018,S4,11,47501,54002
Olbia,2018,S4,02,94508,99685
Olbia,2018,S4,03,29898,31238
Alghero,2018,S5,12,14041,16916
Alghero,2018,S5,02,40512,50044
Alghero,2018,S5,13 + 14,24811,25855
Alghero,2018,S5,03 + 04,39230,45408
Alghero,2018,S5,11,3469,4200
Olbia,2018,S5,13,44500,52786
Olbia,2018,S5,14,65131,76528
