stop_id,stop_name,stop_lat,stop_lon,stop_comune,stop_type
B_7721,Fermata di ANGHELU RUIU,40.6335786,8.3267186,ALGHERO,Fermata Autobus
M_9500,Metro di SANTA MARIA DI PISA-A,40.742092,8.545359,SASSARI,Fermata Metropolitana
B_7750,Fermata di PORTO TORRES SERRA LI POZZI,40.822042,8.417003,PORTO TORRES,Fermata Autobus
ASPO911,Fermata di 911 - V.le Porto Istana 12,40.88937,9.5901,OLBIA,Fermata Autobus
7118,Fermata di BIVIO IPPODROMO,40.61599,8.932189,OZIERI,Fermata Autobus
ASPO667,Fermata di 667 - Corso Vittorio Veneto V.Diaz,40.92355,9.49577,OLBIA,Fermata Autobus
B_7139,Fermata di LI LIONI,40.808168,8.440564,PORTO TORRES,Fermata Autobus
ATPSS_63,"Fermata di Via Rizzeddu, Fr.Ang. Via Venezia",40.712209,8.560611,SASSARI,Fermata Autobus
B_22037,Fermata di ARDARA SCUOLA ELEMENTARE,40.6226805,8.808749,ARDARA,Fermata Autobus
71561,Fermata di OZIERI VIA STAZIONE 7 - OSPEDALE,40.581,9.000875,OZIERI,Fermata Autobus
ATPSS_62,Fermata di Via Rizzeddu 21,40.713744,8.560831,SASSARI,Fermata Autobus
ASPO1196,Fermata di 1196 - Via Ferrara civico 98,40.90884,9.49493,OLBIA,Fermata Autobus
B_22110,Fermata di BULZI VIA NAZIONALE 4 POSTE,40.847116,8.828735,BULZI,Fermata Autobus
ATPSS_559,Fermata di Sp18 Fr. 117,40.735596,8.468621,SASSARI,Fermata Autobus
ATPSS_670,Fermata di Via Pian De Sorres Fr. 5,40.776639,8.418758,SASSARI,Fermata Autobus
ATPSS_190,Fermata di Via Amendola 49,40.721558,8.555671,SASSARI,Fermata Autobus
ATPSS_112,Fermata di Via Pascoli 9/C,40.733555,8.561006,SASSARI,Fermata Autobus
B_7792,Fermata di CANT. COGHINAS,40.8628979,8.9502826,PERFUGAS,Fermata Autobus
ATPSS_509,Fermata di Sp 60 Sv Buttangari,40.77717,8.526105,SASSARI,Fermata Autobus
B_61893,Fermata di SS 125 LA SUAREDDA-PRESSI CABINA,40.78019,9.657701,SAN TEODORO,Fermata Autobus
ATPSS_545,"Fermata di Via P.Niedda 39, Fr. Promocamera",40.732799,8.529726,SASSARI,Fermata Autobus
800325,Fermata di Funtana e'Muru,40.980938,9.155742,LURAS,Fermata Autobus
ATPSS_593,Fermata di Via De Martini Fr. 75,40.770129,8.513314,SASSARI,Fermata Autobus
B_7319,Fermata di URI PIAZZA DELLA LIBERTA',40.635101,8.490306,URI,Fermata Autobus
B_60278,Fermata di SP 5 BIVIO AGLIENTU,40.956876,9.1001464,TEMPIO PAUSANIA,Fermata Autobus
B_22177,Fermata di COSSOINE VIA VITTORIO EMANUELE 131,40.4328,8.716632,COSSOINE,Fermata Autobus
70637,Fermata di SASSARI AGRARIO,40.73948,8.558618,SASSARI,Fermata Autobus
L093-14512,Fermata di Via Valentino 64,40.90460328,9.10072959,TEMPIO PAUSANIA,Fermata Autobus
ATPSS_157,"Fermata di Via Gramsci Fr. 6, Via De Gasperi",40.720032,8.57796,SASSARI,Fermata Autobus
ATPSS_637,Fermata di Sp132  La Crucca Fr. 285,40.761406,8.462431,SASSARI,Fermata Autobus
800422,Fermata di Priatu (Hotel Montenero),40.935508,9.315428,SANT'ANTONIO DI GALLURA,Fermata Autobus
F_22602,Stazione di SASSARI,40.7296321,8.5542777,SASSARI,Stazione Ferroviaria
B_61842,Fermata di PORTO CERVO LU PISANTINU,41.136331,9.52211,ARZACHENA,Fermata Autobus
800611,Fermata di Olbia (Via D'Annunzio),40.92838,9.501715,OLBIA,Fermata Autobus
ATPSS_2005,"Fermata di Viale Delle Vigne 5, Scuola",40.832146,8.404351,PORTO TORRES,Fermata Autobus
ATPSS_387,Fermata di Via Caniga 49,40.720611,8.527937,SASSARI,Fermata Autobus
ASPO1197,Fermata di 1197 - Via Ferrara fronte civico 98,40.90916,9.49491,OLBIA,Fermata Autobus
B_60031,Fermata di BONAITA INVERSIONE,40.9379466,9.0183653,AGGIUS,Fermata Autobus
B_22191,Fermata di PLOAGHE VIA PALAS DE MONTE 3,40.666801,8.741873,PLOAGHE,Fermata Autobus
B_7573,Fermata di CANNIGIONE VIA NAZIONALE 53,41.108888,9.439071,ARZACHENA,Fermata Autobus
800191,Fermata di Thiesi (Piazza Cavour),40.524128,8.714607,THIESI,Fermata Autobus
B_7090,Fermata di ALGHERO VIA DON MINZONI 143,40.581943,8.317949,ALGHERO,Fermata Autobus
B_22278,Fermata di ALGHERO VIA DON MINZONI 28,40.569903,8.320633,ALGHERO,Fermata Autobus
B_7174,Fermata di TERGU CHIESA,40.870298,8.720032,TERGU,Fermata Autobus
